"DT","GRACE"
"2013-01-01 00:00:00",-12.562039463619731
"2013-02-01 00:00:00",-10.736405627792601
"2013-04-01 00:00:00",-6.272129742501101
"2013-05-01 00:00:00",-4.748477445163794
"2013-06-01 00:00:00",-5.2424836954143625
"2013-07-01 00:00:00",-10.443092967892436
"2013-10-01 00:00:00",-11.946951532218096
"2013-11-01 00:00:00",-11.44292421310288
"2013-12-01 00:00:00",-9.227545264255035
"2014-01-01 00:00:00",-9.279919080453354
"2014-03-01 00:00:00",-9.259057142255648
"2014-04-01 00:00:00",-9.071724563119286
"2014-05-01 00:00:00",-7.991126673522012
"2014-06-01 00:00:00",-7.757374342851258
"2014-08-01 00:00:00",-11.035459716458778
"2014-09-01 00:00:00",-10.800830372494437
"2014-10-01 00:00:00",-10.726657275794741
"2014-11-01 00:00:00",-10.582890640526285
"2015-01-01 00:00:00",-8.946183029504276
"2015-02-01 00:00:00",-7.144365687049978
"2015-03-01 00:00:00",-7.4305503399294315
"2015-04-01 00:00:00",-6.534671025313953
"2015-07-01 00:00:00",-2.680379910580556
"2015-08-01 00:00:00",-5.040582340930067
"2015-09-01 00:00:00",-9.490724068390444
"2015-12-01 00:00:00",1.4032420792226086
"2016-01-01 00:00:00",2.037453523224741
"2016-02-01 00:00:00",3.1315004811870977
"2016-03-01 00:00:00",1.3241100078889865
"2016-05-01 00:00:00",3.6980444827319228
"2016-06-01 00:00:00",2.540364868723396
"2016-07-01 00:00:00",-2.1291690356168496
"2016-08-01 00:00:00",-3.86049849789274
"2016-11-01 00:00:00",-3.9557047280946898
"2016-12-01 00:00:00",-3.5327242005525616
"2017-01-01 00:00:00",-2.246426443344043
"2017-03-01 00:00:00",-1.757856492882942
"2017-04-01 00:00:00",3.8735370219442116
"2017-05-01 00:00:00",5.210578858402878
"2017-06-01 00:00:00",2.645989303023444
"2018-06-01 00:00:00",-1.0583687675450084
"2018-07-01 00:00:00",-5.0487046888548575
"2018-10-01 00:00:00",0.5314252275952717
"2018-11-01 00:00:00",0.26583673006174935
"2018-12-01 00:00:00",0.9799537512533115
"2019-01-01 00:00:00",4.655686147604265
"2019-02-01 00:00:00",4.828626383058382
"2019-03-01 00:00:00",6.020046135436377
"2019-04-01 00:00:00",5.5006207912209275
"2019-05-01 00:00:00",10.088729005237019
"2019-06-01 00:00:00",12.64393456856851
"2019-07-01 00:00:00",7.841920838144919
"2019-08-01 00:00:00",4.5668585255553955
"2019-09-01 00:00:00",3.1351692205826294
"2019-10-01 00:00:00",2.397999407635156
"2019-11-01 00:00:00",2.7921364491826917
"2019-12-01 00:00:00",4.199853585627136
