OBJECTID	PDIV_ID	Af_used_2017	Af_used_irr_2017	Acres_2017	Af_used_mun_2017	Af_used_stk_2017	long_nad83	lat_nad83	county
95	7520	50	50	113	0	0	-97.58873772	39.58169953	CD
96	48405	81.43967642	81.43967642	125	0	0	-101.6356263	38.69813301	GL
97	17691	0	0	0	0	0	-101.1083907	38.10392337	KE
98	52655	0	0	0	0	0	-95.25447555	39.3098508	JF
99	963	0	0	0	0	0	-95.25505456	39.31115679	JF
100	21539	0	0	0	0	0	-100.2141138	37.64980884	FO
101	26287	0	0	0	0	0	-101.1379093	37.95363375	KE
102	9716	0	0	0	0	0	-101.3975276	38.45194036	WH
103	21582	0	0	0	0	0	-101.4042	38.48976816	WH
104	24141	52.81064045	52.81064045	72	0	0	-101.9540545	38.66885223	GL
105	22505	61.7745534	61.7745534	82	0	0	-101.9521045	38.66451233	GL
106	35176	0	0	0	0	0	-101.5567812	37.49968435	ST
107	10259	0	0	0	0	0	-101.6739074	39.91796055	CN
108	3797	220	220	260	0	0	-100.8973089	38.490017	SC
109	24839	0	0	0	0	0	-100.9979146	37.47753771	HS
110	38133	0	0	0	0	0	-97.53359838	37.99317953	HV
111	13457	72	72	94	0	0	-100.8309786	39.59995343	RA
112	1303	0	0	0	0	0	-101.017168	37.59052547	HS
