AGRI,Crop,ET,GMD,GW,P,SW,URBAN,YEAR
0.60490763,1.0,235.8,4,64.48575,320.786,0.0,0.06930239,2004
0.7329003,1.15,228.9,4,36.4173,357.043,0.00016897658,0.056991145,2004
0.77448225,1.15,126.1,4,30.72636,189.496,0.0022907003,0.12050303,2002
0.5888057,1.0,241.9,4,14.548485,303.508,0.044280678,0.09270028,2003
0.6469425,1.0,167.2,4,32.883453,329.358,0.0,0.082970664,2003
0.85029924,1.2,159.1,4,83.80512,176.182,0.0009501434,0.10535972,2002
0.4933682,1.15,197.1,4,95.431564,327.911,0.0,0.032013666,2003
0.65711516,1.15,180.9,4,84.23012,337.217,0.0,0.09563771,2003
0.6184568,1.0,210.1,4,22.654257,311.518,0.026734624,0.13560544,2003
0.5614662,1.15,136.3,4,10.475454,232.887,0.0,0.10372579,2002
0.81601757,1.2,107.8,4,110.26442,256.607,0.0026349328,0.11966902,2002
0.39273286,1.15,130.5,4,1.2901564,194.289,0.21563277,0.034278892,2002
0.474334,1.2,207.1,4,100.72285,380.119,0.10502931,0.078136876,2004
0.55405706,1.0,203.9,4,4.9911656,362.568,1.48294175e-05,0.039948452,2003
0.5524106,1.0,278.1,4,82.80955,355.079,0.0,0.048083667,2004
0.33201385,1.0,132.7,4,10.720835,286.603,0.0,0.043800976,2003
0.39861903,1.0,115.2,4,0.0,200.535,0.23021486,0.037028436,2002
0.6804347,1.0,92.4,4,73.2746,190.674,0.0,0.0064010187,2002
0.67240274,1.0,155.6,4,48.332428,262.301,0.0075380765,0.04179147,2003
0.6215841,1.2,212.8,4,99.664024,405.045,0.0,0.012286613,2004
0.8054473,1.15,170.3,4,85.7818,284.255,0.00045332662,0.080177344,2003
0.6210218,1.0,218.8,4,78.74318,362.94,0.0,0.028567448,2004
0.5189425,1.15,306.9,4,47.208294,361.81,8.1807435e-08,0.029401215,2004
0.35753572,1.0,114.4,4,2.7948167,279.62,0.17076804,0.050657038,2002
0.5250542,1.15,205.8,4,21.816946,458.007,0.07409794,0.04164037,2004
0.54251707,1.0,180.9,4,50.704014,392.385,0.0,0.019448413,2004
0.51393896,1.15,168.7,4,19.820269,396.838,0.0,0.018057976,2004
0.49754098,1.2,248.0,4,0.0,425.23502,0.049045846,0.049983714,2004
0.54776585,1.0,98.1,4,35.387295,160.522,0.0,0.024801608,2002
0.4438446,1.15,221.9,4,18.263556,300.926,0.0,0.018559368,2003
0.5165118,1.15,113.6,4,60.143272,205.52,0.0,0.0387575,2002
0.4775196,1.0,221.9,4,0.0,434.793,1.7846065e-07,0.04120717,2004
0.5225113,1.0,216.9,4,46.200974,420.805,0.0,0.033071548,2004
0.76506907,1.2,98.9,4,7.017936,210.977,0.0015286306,0.046868514,2002
0.7090599,1.15,223.0,4,32.157906,369.921,3.8729937e-05,0.09771418,2004
0.8224422,1.15,291.0,4,81.290306,428.00598,0.0014752945,0.126021,2004
0.62232506,1.15,123.5,4,47.530483,193.541,0.020066671,0.048152063,2002
0.354252,1.15,144.3,4,0.0,272.964,0.0,0.016004642,2003
0.5793775,1.15,95.7,4,0.0,207.406,0.0,0.08360019,2002
0.6369671,1.0,270.3,4,45.05789,448.916,0.011932167,0.04479335,2004
0.8134131,1.0,256.2,4,123.93285,293.57602,0.0049970993,0.10734236,2003
0.5759936,1.0,85.1,4,8.53236,203.027,0.044207625,0.055763066,2002
0.45242694,1.0,306.3,4,23.101921,418.742,0.12438491,0.053170286,2004
0.4817316,1.0,86.0,4,43.29809,212.031,0.0,0.04826349,2002
0.7562204,1.15,218.6,4,42.24051,434.513,0.0039308574,0.119003706,2004
0.42876628,1.0,212.4,4,7.87278,324.529,0.0,0.026302421,2003
0.7094101,1.0,165.3,4,2.1649575,306.32098,0.0,0.087395735,2003
0.7113376,1.0,135.5,4,1.4348694,273.532,0.00010930048,0.06065832,2003
0.73198926,1.15,80.7,4,9.460905,214.789,0.0013989105,0.037184175,2002
0.7087041,1.0,74.6,4,57.737183,244.791,0.0008153267,0.031337507,2002
0.543638,1.2,154.9,4,166.37946,169.44101,0.0,0.016045159,2002
0.6208048,1.0,98.6,4,85.36619,240.01399,0.0,0.09711791,2002
0.5593543,1.15,222.2,4,24.116606,339.194,0.0,0.053492326,2004
0.6706628,1.0,278.1,4,171.36395,296.402,0.020102013,0.116970405,2003
0.6372365,1.15,200.3,4,0.0,382.487,0.0,0.09307408,2004
0.31866786,1.2,140.5,4,25.068892,276.622,0.0,0.018490298,2003
0.52690774,1.0,129.6,4,70.956665,310.668,0.048529703,0.050814297,2002
0.57838607,1.15,210.5,4,0.0,424.976,0.0,0.037260935,2004
0.7085809,1.0,110.6,4,62.385628,206.094,0.004570798,0.040292524,2002
0.50122607,1.15,118.5,4,1.2586892,290.81,0.08451943,0.03892683,2002
0.55540925,1.0,213.0,4,52.945526,331.712,0.0,0.038597234,2003
0.3887307,1.0,129.0,4,7.34868,179.904,0.15690857,0.04765525,2002
0.65452665,1.2,188.7,4,17.453976,416.878,0.0035084432,0.044935778,2004
0.38619715,1.0,192.0,4,6.351249,351.673,0.19505118,0.032609858,2003
0.55858624,1.15,179.2,4,21.591242,290.66098,0.03272001,0.05368848,2003
0.63923776,1.0,149.7,4,0.2270363,340.102,0.00023903571,0.09969228,2003
0.4655793,1.0,109.4,4,0.0,257.938,0.0,0.08063691,2002
0.3086016,1.15,149.4,4,0.0,284.595,0.0,0.03345375,2003
0.5867224,1.2,138.0,4,51.311687,238.656,0.0,0.098452196,2002
0.41711047,1.15,127.0,4,0.0,203.809,0.0,0.017922098,2002
0.7297877,1.0,212.8,4,47.71098,330.966,0.0,0.11189551,2003
0.6469425,1.0,106.2,4,40.965622,249.471,0.0,0.082970664,2002
0.4958129,1.0,215.4,4,15.881041,393.856,0.10005635,0.06629569,2004
0.5444682,1.0,179.3,4,24.697054,350.762,0.0,0.108855456,2003
0.5710478,1.0,243.1,4,14.859267,464.944,0.032893676,0.14534257,2004
0.68097734,1.2,237.5,4,97.41696,335.717,0.0,0.005205031,2004
0.5325817,1.0,220.5,4,23.872478,428.134,0.022058217,0.088173255,2004
0.503455,1.2,169.5,4,61.3675,331.12698,0.085722536,0.09248089,2003
0.54675806,1.0,188.3,4,23.516058,291.357,0.044438913,0.04823013,2003
0.560355,1.0,154.5,4,61.27628,249.982,0.0,0.06725089,2002
0.8224422,1.15,274.3,4,73.137024,328.859,0.0014752945,0.126021,2003
0.57919717,1.0,158.7,4,36.21433,349.408,0.0,0.06968435,2003
0.61892104,1.2,156.4,4,15.826455,266.808,0.010421265,0.051741574,2003
0.40083456,1.15,84.9,4,19.382761,187.313,0.0,0.022568025,2002
0.85029453,1.0,245.5,4,107.511024,318.15698,0.0016304526,0.12038583,2003
0.77669543,1.15,267.8,4,101.71472,385.45398,0.00010740566,0.1254779,2004
0.50304663,1.0,127.8,4,58.047367,299.18298,0.02315176,0.08984396,2002
0.40328628,1.15,270.1,4,31.458418,334.497,0.1420835,0.055540957,2003
0.6777728,1.15,123.0,4,30.534906,245.52899,0.0021523894,0.036411237,2002
0.44999394,1.0,83.2,4,5.256526,199.57,0.0,0.027025232,2002
0.71165943,1.0,188.8,4,78.97325,242.259,0.00035160407,0.038193733,2003
0.68334365,1.15,89.5,4,36.81598,187.789,0.0,0.010565062,2002
0.5502219,1.15,218.8,4,144.0282,380.982,0.0,0.09108972,2003
0.5348374,1.2,210.1,4,40.458954,294.77,0.0,0.052857284,2003
0.6804926,1.15,306.2,4,72.57505,318.69,0.0,0.0042615784,2004
0.60376406,1.15,180.1,4,0.0,409.22302,0.0,0.10191147,2004
0.6896455,1.0,198.0,4,149.84871,344.299,0.0,0.10344312,2003
0.34777963,1.15,201.1,4,9.074881,380.077,0.0,0.025632814,2004
0.50876963,1.0,271.1,4,128.31163,396.518,0.0,0.10081801,2004
0.63261354,1.0,170.8,4,4.0742416,373.617,0.00011870162,0.09097308,2003
0.5616192,1.0,265.1,4,109.25647,339.223,0.0,0.09704974,2004
0.543167,1.0,227.7,4,95.54285,282.802,0.0,0.054724656,2003
0.7211338,1.15,263.0,4,171.86644,269.70502,0.013164953,0.11219719,2003
0.4775196,1.0,74.0,4,0.0,202.86699,1.7846065e-07,0.04120717,2002
0.6071293,1.15,191.6,4,31.535069,383.79,0.0,0.027610313,2004
0.7085809,1.0,235.0,4,65.08893,416.367,0.004570798,0.040292524,2004
0.6823554,1.15,179.3,4,9.798886,374.23,5.663419e-05,0.0636334,2004
0.72149515,1.0,166.8,4,0.0,305.299,0.0019133537,0.11414724,2003
0.77448225,1.15,217.8,4,24.512041,307.504,0.0022907003,0.12050303,2003
0.72984755,1.15,92.8,4,114.95584,232.60501,7.6899996e-05,0.07483138,2002
0.8150017,1.15,106.8,4,43.452065,251.805,0.00024386453,0.11870112,2002
0.5468047,1.0,240.9,4,45.27571,306.174,0.0,0.05229649,2003
0.77448225,1.15,242.3,4,26.97804,427.328,0.0022907003,0.12050303,2004
0.5287677,1.2,204.2,4,48.74042,381.897,0.0,0.023364624,2003
0.51316375,1.0,206.9,4,38.883976,341.208,0.0,0.056333255,2004
0.5803552,1.0,162.0,4,101.693375,330.973,0.0,0.022677515,2003
0.63147086,1.0,242.1,4,6.920066,372.792,5.663419e-05,0.079168156,2003
