YEAR,Actual_GW,Pred_GW
2002,6.6582003,0.0030185403
2002,0.0,1.2658538
2002,0.0,0.0066629103
2002,0.0,0.040573597
2002,0.0,0.0
2002,0.0,1.4367479
2002,0.0,2.7224054
2002,4.1922,14.914037
2002,41.714306,79.14671
2002,0.0,5.0515695
2002,0.0,7.737507
2002,0.0,0.8921004
2002,0.0,25.112206
2002,0.0,47.31327
2002,0.0,61.493248
2002,0.0,49.721394
2002,0.0,18.584286
2002,0.0,4.5813785
2002,0.0,6.738044
2002,0.0,3.0377207
2002,0.0,0.89024687
2002,0.0,2.2926495
2002,0.0,2.473691
2002,0.0,3.8741744
2002,0.0,18.381653
2002,0.0,17.125835
2002,0.0,19.74273
2002,0.0,10.81969
2002,0.0,28.770716
2002,0.0,24.118923
2002,0.0,14.169095
2002,0.0,43.289185
2002,0.0,23.495092
2002,0.0,18.859291
2002,0.0,85.12868
2002,0.0,70.894806
2002,0.0,22.187798
2002,0.0,14.330684
2002,0.0,18.499746
2002,0.0,2.8961997
2002,0.0,28.469446
2002,0.0,120.989525
2002,0.0,22.924438
2002,0.0,21.489862
2002,0.0,59.660606
2002,0.0,18.847399
2002,0.0,0.6630464
2002,0.0,6.034636
2002,0.0,0.74417746
2002,0.0,0.5936226
2002,0.0,0.49871895
2002,0.0,0.7069226
2002,0.0,0.52415717
2002,0.0,1.9531178
2002,0.0,0.74224365
2002,0.0,2.3235588
2002,0.0,0.62400264
2002,0.0,0.4124092
2002,0.0,0.3194922
2002,0.0,1.1363095
2002,0.0,1.4844888
2002,0.0,1.7802924
2002,0.0,0.4077007
2002,0.0,0.4354778
2002,0.0,1.853146
2002,0.0,2.9559634
2002,0.0,2.135706
2002,0.0,5.55742
2002,0.0,16.882992
2002,0.0,60.968925
2002,0.0,4.1697874
2002,0.0,3.9113448
2002,0.0,3.4259813
2002,0.0,9.942898
2002,0.0,29.589222
2002,10.189388,46.903915
2002,0.0,60.71131
2002,0.0,101.74904
2002,0.0,37.89325
2002,0.0,62.88987
2002,0.0,16.811152
2002,0.0,13.515364
2002,0.0,8.611231
2002,0.0,0.7662243
2002,0.0,1.244914
2002,0.0,2.3286889
2002,0.0,1.4730761
2002,0.0,0.08561695
2002,9.691649,9.14401
2002,0.0,0.013588428
2002,0.0,0.55701643
2002,0.0,1.1215774
2002,0.0,0.15860976
2002,0.0,0.059733182
2002,0.0,0.3184515
2002,0.0,0.108161464
2002,1.1856289,8.624481
2002,0.014575729,1.4537535
2002,0.0,3.820816
2002,0.0,2.022972
2002,0.0,7.6783586
2002,0.0,2.2968407
2002,0.0,2.1082397
2002,0.0,0.36438233
2002,0.0,0.21164869
2002,0.0,0.009592316
2002,0.0,0.0087185735
2002,0.0,3.3764699
2002,0.0,3.6043425
2002,0.0,28.987602
2002,0.0,7.241262
2002,0.0,3.64825
2002,0.0,0.17318411
2002,0.0,0.13712567
2002,0.5230008,0.6217382
2002,2.5611055,2.8780346
2002,0.0,0.06405384
2002,0.0,0.09112265
2002,0.0,0.003612783
2002,0.0,5.4210034e-07
2002,0.0,1.0973421e-07
2002,0.0,0.0007339024
2002,0.0,0.06920236
2002,0.0,9.4137e-08
2002,0.0,0.08391327
2002,0.0,0.0007603346
2002,0.0,0.0006962581
2002,0.0,0.025862522
2002,0.0,0.32338178
2002,0.0,0.00019728001
2002,0.0,0.0
2002,0.0,0.0
2002,0.0,0.06594923
2002,8.58168,10.405673
2002,70.159676,68.19551
2002,0.0,1.454462
2002,0.0,0.40275645
2002,0.0,7.5188303
2002,0.0,0.60080826
2002,0.0,21.10224
2002,0.0,6.411442
2002,0.0,8.142498
2002,0.0,8.565782
2002,0.0,5.150215
2002,0.8606189,6.628299
2002,0.0,0.5090865
2002,0.0,0.5068891
2002,0.0,0.6589036
2002,0.0,5.5667667
2002,3.2693224,2.4537258
2002,0.0,0.6107057
2002,13.26708,12.230315
2002,8.33508,7.385958
2002,0.0,0.20064548
2002,0.0,0.49068186
2002,4.45645,9.815668
2002,1.127114,3.9021094
2002,0.0,2.116858
2002,0.0,2.5335877
2002,3.2235327,10.998534
2002,11.88612,17.521807
2002,10.1106,24.55939
2002,0.0,17.558182
2002,0.0,3.7739413
2002,0.0,7.8465896
2002,0.0,3.224651
2002,10.507346,11.2220125
2002,0.0,2.0946908
2002,18.074995,18.18281
2002,6.1593204,13.5342
2002,39.809948,68.440865
2002,28.743374,28.71026
2002,0.0,0.17201374
2002,0.0,4.1097946
2002,0.0,6.3705826
2002,0.0,1.0614818
2002,0.0,0.7546233
2002,2.5936625,0.84983224
2002,0.0,0.32702836
2002,0.0,1.010248
2002,0.0,0.68023133
2002,0.0,4.2963176
2002,0.0,1.1527181
2002,0.0,0.869565
2002,0.0,1.1087356
2002,0.0,1.1941826
2002,0.0,1.163023
2002,0.0,0.46837315
2002,0.0,0.6901414
2002,0.0,1.5845506
2002,0.0,0.66733825
2002,0.0,5.0181394
2002,0.0,0.8842132
2002,0.0,2.056728
2002,0.0,6.0911036
2002,21.441565,6.3915873
2002,38.187916,0.42666927
2002,17.368563,1.4248778
2002,11.754922,3.1272423
2002,99.68056,1.7730818
2002,211.19933,6.794757
2002,192.04646,16.943037
2002,160.54301,62.95894
2002,0.0,66.19665
2002,0.0,57.689716
2002,0.0,60.336384
2002,0.0,44.082413
2002,1.1310947,68.59902
2002,0.0,16.005669
2002,0.0,18.334936
2002,25.2765,22.032034
2002,0.0,1.3000727
2002,0.0,0.767494
2002,0.0,0.5519349
2002,0.0,0.5033076
2002,0.0,0.23155081
