ET_KS,URBAN_KS,URBAN_FLT_KS,GRACE_KS,GW_KS,AGRI_KS,P_KS,SW_KS,ET_FLT_KS,GRACE_AVG_KS,YEAR
346.5,0.0,0.126867,-13.776094,0.0,0.55947983,375.59,0.31049442,346.5,-12.861089,2012
325.2,0.0,0.10200054,-13.776094,0.0,0.56036335,386.42,0.2978291,325.2,-12.861089,2012
330.2,0.0,0.07691349,-13.776094,0.0,0.55544716,406.58,0.28323743,330.2,-12.861089,2012
256.3,0.0,0.054366212,-13.776094,0.0,0.54848707,390.72998,0.2680756,256.3,-12.861089,2012
369.1,0.0,0.036116272,-13.776094,0.6294092,0.54070914,372.87,0.25324062,369.1,-12.861089,2012
250.9,0.0,0.023043673,-13.776094,0.0,0.531454,392.37,0.23910409,250.9,-12.861089,2012
304.5,0.0,0.015313294,-13.776094,1.822184,0.5196691,421.66998,0.22556236,304.5,-12.861089,2012
331.0,0.0,0.01259518,-13.776094,0.0,0.5047625,485.44,0.21217549,331.0,-12.861089,2012
312.3,0.0,0.01422746,-13.776094,0.0,0.48614824,500.76,0.19835305,312.3,-12.861089,2012
289.9,0.0,0.019214945,-13.776094,0.0,0.4623412,532.49,0.18354432,289.9,-12.861089,2012
320.4,0.0,0.026145775,-13.776094,0.0,0.43101007,544.91,0.16739856,320.4,-12.861089,2012
317.4,0.0,0.033118322,-13.776094,0.0,0.3902217,562.73,0.14986058,317.4,-12.861089,2012
348.5,0.0,0.038093947,-13.776094,2.9912465,0.34011897,570.88,0.13120064,348.5,-12.861089,2012
282.2,0.0,0.07621909,-13.387167,12.983196,0.20482488,396.91998,0.04926419,282.2,-12.861089,2012
237.6,0.0,0.09195869,-13.387167,6.1854444,0.22341554,395.46,0.06734214,237.6,-12.861089,2012
242.4,0.0,0.102393925,-13.387167,0.0,0.24605344,405.25,0.0896187,242.4,-12.861089,2012
265.6,0.0,0.10602222,-13.387167,0.0,0.2709379,403.4,0.1161356,265.6,-12.861089,2012
276.9,0.0,0.103667274,-13.387167,0.0,0.29508108,427.63,0.14656879,276.9,-12.861089,2012
283.3,0.0,0.09867291,-13.387167,0.0,0.31568253,444.96,0.1801986,283.3,-12.861089,2012
303.1,0.0,0.09615856,-13.387167,0.0,0.33177906,449.59,0.21574882,303.1,-12.861089,2012
259.0,0.0,0.101208724,-13.387167,0.0,0.3454935,424.23,0.25159514,259.0,-12.861089,2012
235.2,0.0,0.11661824,-13.387167,0.0,0.36182624,420.74,0.2858023,235.2,-12.861089,2012
359.9,0.0,0.14120826,-13.387167,0.5257032,0.38639626,408.87,0.31635845,359.9,-12.861089,2012
230.4,0.0,0.1697339,-13.387167,0.12465039,0.4222341,409.4,0.34144598,230.4,-12.861089,2012
236.7,0.0,0.19466585,-13.387167,0.0,0.46733555,410.52,0.3597174,236.7,-12.861089,2012
