Test Case,N_Estimator,MF,F_IMP,Train_Score,Test_Score,MAE,RMSE
T2,600,5,0.32 0.13 0.06 0.15 0.18 0.15,0.98,0.62,25.59,43.45
T3,600,5,0.31 0.14 0.07 0.17 0.17 0.14,0.98,0.66,17.66,34.77
T1,600,6,0.33 0.12 0.06 0.13 0.2 0.16,0.98,0.84,11.16,24.31
T2,600,6,0.32 0.13 0.06 0.16 0.18 0.15,0.98,0.6,24.97,44.47
T3,600,6,0.31 0.14 0.08 0.17 0.16 0.14,0.98,0.64,17.59,35.84,500,5,0.31 0.14 0.07 0.17 0.17 0.14,0.98,0.66,17.68,34.79
,500,3,0.32 0.14 0.07 0.16 0.17 0.14,0.98,0.69,17.93,33.46
,500,3,0.33 0.13 0.07 0.13 0.19 0.15,0.98,0.84,13.12,24.65
,500,3,0.33 0.13 0.07 0.13 0.19 0.15,0.98,0.84,13.12,24.65
,500,3,0.33 0.13 0.07 0.13 0.19 0.15,0.98,0.84,13.12,24.65
,500,3,0.32 0.13 0.06 0.14 0.19 0.15,0.98,0.66,25.2,40.92
,500,3,0.33 0.13 0.07 0.13 0.19 0.15,0.98,0.84,13.12,24.65
,500,3,0.32 0.13 0.06 0.14 0.19 0.15,0.98,0.66,25.2,40.92
,500,3,0.32 0.14 0.07 0.16 0.17 0.14,0.98,0.69,17.93,33.46
,500,3,0.33 0.13 0.07 0.13 0.19 0.15,0.98,0.84,13.12,24.65
,500,3,0.33 0.13 0.07 0.13 0.19 0.15,0.98,0.84,13.12,24.65
,500,3,0.33 0.13 0.07 0.13 0.19 0.15,0.98,0.84,13.12,24.65
,500,3,0.32 0.13 0.06 0.14 0.19 0.15,0.98,0.66,25.2,40.92
,500,3,0.33 0.13 0.07 0.13 0.19 0.15,0.98,0.84,13.12,24.65
,500,3,0.33 0.13 0.07 0.13 0.19 0.15,0.98,0.84,13.12,24.65
