AGRI_KS,ET_KS,GRACE_Trend_KS,P_KS,SW_KS,URBAN_FLT_KS
0.55275005,1634.0,-380.40277,162.45,0.005572823,0.12265115
0.77025276,2922.0,-261.50198,763.38,0.5971546,0.20205732
0.6057039,2083.0,-250.47935,438.21002,0.06300529,0.22829008
0.60042375,516.0,-294.11075,215.82,0.005000057,0.06748611
0.26873422,1338.0,-503.74908,287.01,0.14332688,0.18307061
0.6394039,1746.0,-327.63904,390.04,0.2840493,0.17031506
0.57804114,3930.0,-108.96084,447.96,0.16235007,0.344708
0.63461125,3883.0,-236.23709,538.51,0.28531623,0.42934787
0.30412447,3072.0,-306.79654,487.85,0.24490075,0.18056737
0.8183686,1700.0,-167.12189,563.69,0.0,0.04318276
0.8367772,2323.0,-230.03015,244.32,0.13867702,0.120877855
0.69727093,1113.0,-467.36386,332.76,0.20730522,0.18483815
0.8180078,2757.0,-197.0005,554.63,0.39933416,0.08596862
0.16004136,3569.0,-299.64645,532.64,0.68088365,0.12784937
0.33311763,2581.0,-310.64453,450.92,0.29652986,0.07701029
0.58374816,3606.0,-92.242584,518.42,0.10708329,0.14884958
0.4442561,721.0,-440.299,271.48,0.10585567,0.054358248
0.904661,3050.0,-348.45395,582.613,0.013182391,0.09657453
0.81022984,1625.0,-421.4361,224.95999,0.0105877295,0.18112798
0.6306194,864.0,-449.17493,184.77,0.0032832096,0.09973219
0.3280903,1772.0,-282.79755,357.25,0.0,0.14829917
0.7172936,1608.0,-227.80148,279.51,0.0035351946,0.14036223
0.59663665,1057.0,-243.7851,372.81,6.96167e-08,0.030223602
0.54490083,2118.0,-515.8428,321.22998,0.360386,0.22856565
0.2887503,2024.0,-401.34882,528.26,0.002887307,0.042826883
0.3512643,1550.0,-378.79828,425.27402,0.0,0.06745504
0.34870142,1909.0,-374.48132,406.001,0.0,0.14516354
0.56704503,3079.0,-357.00702,442.97003,0.29136083,0.14191873
0.5037447,1040.0,-269.3217,270.44,0.0,0.047758464
0.6086558,3071.0,-203.59785,573.18,0.40551317,0.24946323
0.5114778,2071.0,-250.47935,405.86,0.113917336,0.24967101
0.6771699,2703.0,-197.0005,549.64,0.3447084,0.04640422
0.5717456,1852.0,-283.8272,400.75,0.0,0.06244155
0.84056836,2241.0,-293.1137,650.33,0.37159574,0.26258627
0.4016239,2739.0,-201.52792,450.0,0.37307513,0.11874652
0.3475219,776.0,-296.68475,274.04,0.35343382,0.06430272
0.4966252,3805.0,-375.8756,545.56,0.5817425,0.09186419
0.7011178,2383.0,-118.40811,392.55002,0.10603765,0.16213638
0.23482908,3678.0,-368.102,712.87,0.6774888,0.1795116
0.46531326,1268.0,-281.87766,256.46,0.1892746,0.17515253
0.2854081,622.0,-571.2196,175.66,0.0,0.11517025
0.6315975,2790.0,-306.79654,436.12,0.32740483,0.023678618
0.21734048,2348.0,-184.42087,425.55,0.0,0.053606752
0.89187855,3168.0,-230.03015,235.74,0.038517013,0.11728868
0.76905483,2019.0,-285.53815,378.17,0.31584135,0.35024098
0.54262465,2513.0,-308.01758,334.66,0.0,0.14170744
0.7873322,3057.0,-121.88341,636.39,0.73299855,0.33453313
0.33138844,4448.0,-226.48181,705.44,0.296077,0.13851264
0.8058304,3008.0,-197.17755,459.85,0.27637666,0.10270927
0.44452614,1845.0,-458.6178,307.79,0.23128974,0.14396791
0.44324577,2013.0,-144.0245,427.41998,0.0,0.052945673
0.5543216,2584.0,-291.75815,474.44,0.0061848937,0.16777489
0.82353175,1799.0,-307.00412,230.55,0.26817858,0.3169958
0.10847699,1575.0,-291.67087,311.72998,0.1097672,0.030003205
0.4623189,2384.0,-250.47935,408.38998,0.20345539,0.14974284
0.5281773,1198.0,-327.37674,328.78,0.006416722,0.057808246
0.7151526,726.0,-294.11075,203.71,0.0019012903,0.085464515
0.35210466,1876.0,-674.3433,349.28,0.010108838,0.15191884
0.30265182,1992.0,-400.74432,298.59,0.0071500014,0.02175853
0.6057306,1819.0,-267.43295,299.96,0.3195448,0.13766952
0.34005424,2226.0,-370.42548,419.126,0.0034790228,0.050178558
0.5304987,1685.0,-197.0005,707.29004,0.5058825,0.21142793
0.6538532,2580.0,-108.96084,551.29,0.3183533,0.4291314
0.79857534,3427.0,-285.59644,194.11,0.2201795,0.057551984
0.65972406,2386.0,-285.59644,225.15,0.12763163,0.10806372
0.4648437,3667.0,-183.56854,534.05,0.022514192,0.2785875
0.43252265,1674.0,-122.624275,391.37,0.32042608,0.0702676
0.5813448,1893.0,-135.02675,336.8,0.20068449,0.32253256
0.58047646,2053.0,-479.17065,338.36,0.10730931,0.15361035
0.50094384,1565.0,-299.21625,291.08,0.0,0.066905074
0.6415919,1941.0,-308.01758,339.23,0.0,0.06273645
0.56938815,2644.0,-397.07172,364.31,0.4450531,0.18607883
0.5833947,597.0,-323.7525,204.15,0.2888993,0.105919324
0.18586394,3931.0,-368.102,650.06,0.2303923,0.25917044
0.4749951,2476.0,-340.7523,283.18,0.0,0.016474975
0.9008903,1976.0,-401.34882,306.13,0.16478409,0.04907419
0.50968915,2286.0,-515.8428,264.77,0.020977031,0.010841137
0.73103076,2136.0,-563.4581,343.96,0.8946711,0.6228685
0.61046565,1282.0,-467.36386,293.15,0.039125256,0.108029075
0.37844244,2476.0,-351.66302,391.78,0.45259368,0.16693717
0.59902006,3061.0,-374.7312,762.934,0.47334617,0.26997134
0.7913969,2840.0,-346.44556,615.592,0.004026186,0.06340654
0.48148492,2508.0,-237.9046,424.63,0.0,0.14052388
0.33204967,3352.0,-387.64514,700.68,0.27421004,0.18830325
0.37009603,2893.0,-315.14072,627.37,0.007682477,0.044680197
0.6393631,1283.0,-167.12189,530.89,0.0,0.059694573
0.03895405,3929.0,-346.74042,670.82,0.21080302,0.0019474546
0.7403507,1619.0,-291.75815,410.90002,0.30100963,0.33220986
0.20562586,1815.0,-118.40811,417.23,0.0029938414,0.04479802
0.5140811,1147.0,-336.70618,193.26001,0.3930329,0.21670699
0.24586797,2763.0,-315.14072,556.56,0.01124502,0.06509981
0.5023714,1376.0,-254.24326,274.4,0.06561322,0.17172484
0.5361864,1365.0,-239.33809,274.49002,0.00072282803,0.087387465
0.28656745,4528.0,-262.03653,778.2,0.56574064,0.16206218
0.7428666,1594.0,-299.21625,474.24,0.0,0.06646658
0.6641776,2089.0,-338.02228,417.2,0.4314824,0.27934006
0.3917524,3031.0,-186.82289,412.91,0.33168557,0.16868493
0.52534884,1966.0,-115.0085,484.24,0.075803235,0.13242055
0.29553792,1686.0,-340.7523,282.37,0.0,0.061548162
0.7370736,1620.0,-346.44556,603.79297,0.0012701547,0.109288305
0.294671,4225.0,-382.74493,809.352,0.36842117,0.012910704
0.497762,1861.0,-299.21625,418.31,0.0,0.12410674
0.42981923,1921.0,-285.53815,341.52,0.3131562,0.118598014
0.81648934,1127.0,-296.68475,279.35,0.045948282,0.053303428
0.5001213,2490.0,-135.02675,447.13,0.21015908,0.14311656
0.7400772,1262.0,-254.24326,417.41,0.001666326,0.06602679
0.6110531,2577.0,-642.6691,362.07,0.18428363,0.07401457
0.23884425,3023.0,-153.40157,394.16,0.0,0.015543048
0.5968685,2073.0,-313.5496,457.54,0.00012586995,0.11537236
0.37078422,1790.0,-300.88504,481.13998,0.33024454,0.19620542
0.7168971,1600.0,-254.24326,304.01,0.0005530356,0.030618802
0.7250742,2390.0,-293.1137,606.2,0.49842948,0.3743629
0.60446465,2097.0,-115.0085,455.63998,0.045747172,0.1825415
0.69714236,1806.0,-397.63855,345.64,0.37867358,0.24249752
0.58774805,2636.0,-291.67087,536.64,0.025400717,0.05758034
0.81022984,2225.0,-347.7622,416.76,0.0105877295,0.18112798
0.26104137,1528.0,-317.15866,343.78,0.0,0.028564094
0.24946915,1910.0,-368.68777,288.84,0.8009875,0.21546659
0.26026338,1315.0,-294.64017,423.75,0.2094536,0.05911962
0.63514125,1558.0,-538.55914,275.87,0.062149517,0.23224409
0.76301306,1522.0,-242.7133,354.80002,0.07620795,0.08913224
0.3911653,1842.0,-239.60513,239.44,0.27726215,0.06346024
0.22118156,1559.0,-614.1719,245.95999,0.14359988,0.058865674
0.8085013,2039.0,-122.624275,428.75,0.19990848,0.069864355
0.23280968,3407.0,-460.01898,601.89,0.2672244,0.20518209
0.7834138,2241.0,-563.4581,323.66,0.86357576,0.4469483
0.77001595,974.0,-243.7851,308.59,0.0,0.08330318
0.38720003,1546.0,-407.03812,341.37,0.33037323,0.18218268
0.75153375,3148.0,-241.49243,467.26,0.34592637,0.34650862
0.22118156,2093.0,-213.48747,488.52002,0.14359988,0.058865674
0.5005953,1613.0,-374.48132,422.576,0.0,0.062209874
0.79971933,2405.0,-361.9958,615.428,0.32344034,0.10704879
0.2286118,438.0,-323.7525,152.35,0.013375311,0.016387703
0.7402078,1901.0,-273.6083,330.36002,0.0,0.06738782
0.42714357,2043.0,-214.17244,468.9,0.12718849,0.20511167
0.4102709,2852.0,-370.13885,672.36,0.33459738,0.124738626
0.66532385,3509.0,-110.0946,460.74,0.3689273,0.36012334
0.6719631,1426.0,-172.57062,360.61,4.6304973e-05,0.17359334
0.8398693,2596.0,-329.17343,684.63995,0.05569727,0.041797847
0.68593377,2320.0,-118.40811,393.2,0.34715012,0.20287149
