ET_KS,GRACE_KS,URBAN_KS,GW_KS,P_KS,SW_KS,ET_FLT_KS
291.79998779296875,-0.8224008083343506,0.0,45.34377670288086,515.7000122070312,0.17356941103935242,265.8999938964844
281.5,-0.8224008083343506,0.0,46.010887145996094,516.1799926757812,0.18470381200313568,275.3999938964844
338.70001220703125,-0.8224008083343506,0.0,44.84776306152344,521.7899780273438,0.1905221939086914,292.29998779296875
323.20001220703125,-0.8224008083343506,0.0,36.050289154052734,538.5800170898438,0.19079603254795074,280.8999938964844
348.3999938964844,-0.8224008083343506,0.0,23.2198486328125,580.5900268554688,0.18592141568660736,309.1000061035156
305.79998779296875,-0.30841517448425293,0.0,42.53850555419922,592.4400024414062,0.17682772874832153,269.20001220703125
367.8999938964844,-0.30841517448425293,0.0,46.87882614135742,592.4199829101562,0.16478806734085083,298.70001220703125
234.3000030517578,-0.30841517448425293,0.0,48.156028747558594,625.1099853515625,0.15117968618869781,255.8000030517578
353.29998779296875,-0.30841517448425293,0.0,47.53422164916992,638.5800170898438,0.1372528225183487,271.20001220703125
365.0,-0.30841517448425293,0.0,43.13084411621094,651.47998046875,0.1239575520157814,326.20001220703125
253.60000610351562,-0.8224008083343506,0.0,2.1719725131988525,582.5599975585938,0.11935558170080185,258.0
220.8000030517578,-0.8224008083343506,0.0,34.00757598876953,556.4500122070312,0.14359988272190094,260.0
279.70001220703125,-0.8224008083343506,0.0,38.120025634765625,530.52001953125,0.1674511432647705,285.8999938964844
291.8999938964844,-0.8224008083343506,0.0,39.010833740234375,503.05999755859375,0.18923822045326233,247.89999389648438
337.8999938964844,-0.8224008083343506,0.0,39.87767791748047,509.6999816894531,0.20730902254581451,308.20001220703125
360.6000061035156,-0.8224008083343506,0.0,41.69599151611328,522.2999877929688,0.22028957307338715,331.29998779296875
285.1000061035156,-0.8224008083343506,0.0,42.06334686279297,553.8300170898438,0.22731725871562958,265.5
326.70001220703125,-0.8224008083343506,0.0,38.834266662597656,563.989990234375,0.22818885743618011,284.70001220703125
300.5,-0.8224008083343506,0.0,31.560832977294922,586.260009765625,0.22338329255580902,285.3999938964844
320.0,-0.30841517448425293,0.0,39.3037223815918,598.72998046875,0.21395054459571838,264.1000061035156
336.5,-0.30841517448425293,0.0,43.933135986328125,609.1300048828125,0.20129553973674774,293.20001220703125
366.0,-0.30841517448425293,0.0,45.516151428222656,631.0900268554688,0.18691174685955048,292.5
344.79998779296875,-0.30841517448425293,0.0,44.85285568237305,631.1600341796875,0.17212899029254913,290.8999938964844
371.6000061035156,-0.30841517448425293,0.0,39.734832763671875,657.1699829101562,0.15792936086654663,300.6000061035156
328.29998779296875,-0.30841517448425293,0.0,16.527956008911133,675.3900146484375,0.1448608636856079,289.29998779296875
334.0,-0.8224008083343506,0.0,40.30999755859375,553.8300170898438,0.09471485018730164,299.3999938964844
289.3999938964844,-0.8224008083343506,0.0,29.8703556060791,562.7899780273438,0.11970070749521255,284.70001220703125
241.8000030517578,-0.8224008083343506,0.0,24.823509216308594,563.489990234375,0.14694291353225708,293.6000061035156
288.5,-0.8224008083343506,0.0,35.315399169921875,542.260009765625,0.1751687079668045,289.3999938964844
255.3000030517578,-0.8224008083343506,0.0,36.11260986328125,531.489990234375,0.20272746682167053,271.70001220703125
271.3999938964844,-0.8224008083343506,0.0,28.92384910583496,521.5900268554688,0.22777758538722992,267.8999938964844
311.70001220703125,-0.8224008083343506,0.0,28.436716079711914,529.3200073242188,0.248535618185997,271.70001220703125
326.0,-0.8224008083343506,0.0,35.933860778808594,544.5999755859375,0.2635538876056671,278.8999938964844
340.0,-0.8224008083343506,0.0,38.662445068359375,566.0800170898438,0.2719630002975464,292.6000061035156
336.20001220703125,-0.8224008083343506,0.0,36.25870895385742,563.3400268554688,0.27361756563186646,310.70001220703125
301.1000061035156,-0.8224008083343506,0.0,28.775348663330078,562.1900024414062,0.26910364627838135,251.89999389648438
386.79998779296875,-0.30841517448425293,0.0,34.87373733520508,580.5,0.25960275530815125,263.29998779296875
339.79998779296875,-0.30841517448425293,0.0,40.50526809692383,592.6199951171875,0.2466467320919037,259.3999938964844
368.3999938964844,-0.30841517448425293,0.0,42.72734451293945,614.5,0.2318250983953476,211.60000610351562
373.1000061035156,-0.30841517448425293,0.0,41.169551849365234,635.0599975585938,0.21651488542556763,359.8999938964844
