ET_KS,URBAN_KS,URBAN_FLT_KS,GRACE_KS,GW_KS,AGRI_KS,P_KS,SW_KS,ET_FLT_KS,GRACE_AVG_KS,YEAR
135.8,0.0,0.023043673,1.0,0.0,0.531454,185.82,0.23910409,135.8,1.0,2012
179.6,0.0,0.015313294,1.0,1.822184,0.5196691,205.34,0.22556236,179.6,1.0,2012
182.0,0.0,0.01259518,1.0,0.0,0.5047625,241.8,0.21217549,182.0,1.0,2012
143.6,0.0,0.01422746,1.0,0.0,0.48614824,249.73,0.19835305,143.6,1.0,2012
178.0,0.0,0.019214945,1.0,0.0,0.4623412,289.08,0.18354432,178.0,1.0,2012
176.8,0.0,0.026145775,1.0,0.0,0.43101007,304.34,0.16739856,176.8,1.0,2012
164.9,0.0,0.033118322,1.0,0.0,0.3902217,326.19,0.14986058,164.9,1.0,2012
189.5,0.0,0.038093947,1.0,2.9912465,0.34011897,336.16998,0.13120064,189.5,1.0,2012
125.3,0.0,0.07621909,1.0,12.983196,0.20482488,254.60999,0.04926419,125.3,1.0,2012
132.5,0.0,0.09195869,1.0,6.1854444,0.22341554,251.39,0.06734214,132.5,1.0,2012
116.4,0.0,0.102393925,1.0,0.0,0.24605344,269.30002,0.0896187,116.4,1.0,2012
145.7,0.0,0.10602222,1.0,0.0,0.2709379,273.27,0.1161356,145.7,1.0,2012
154.0,0.0,0.103667274,1.0,0.0,0.29508108,298.88,0.14656879,154.0,1.0,2012
138.2,0.0,0.09867291,1.0,0.0,0.31568253,308.93,0.1801986,138.2,1.0,2012
163.4,0.0,0.09615856,1.0,0.0,0.33177906,301.85,0.21574882,163.4,1.0,2012
130.3,0.0,0.101208724,1.0,0.0,0.3454935,267.92,0.25159514,130.3,1.0,2012
130.3,0.0,0.11661824,1.0,0.0,0.36182624,267.07,0.2858023,130.3,1.0,2012
194.0,0.0,0.14120826,1.0,0.5257032,0.38639626,255.45,0.31635845,194.0,1.0,2012
109.0,0.0,0.1697339,1.0,0.12465039,0.4222341,252.72,0.34144598,109.0,1.0,2012
131.1,0.0,0.19466585,1.0,0.0,0.46733555,251.66,0.3597174,131.1,1.0,2012
139.9,0.0,0.20904543,1.0,0.0,0.5148387,237.29001,0.37051234,139.9,1.0,2012
119.3,0.0,0.2089547,1.0,1.5783689,0.55597526,222.42,0.37395662,119.3,1.0,2012
143.8,0.0,0.19444644,1.0,0.65585977,0.5842106,197.91,0.37091172,143.8,1.0,2012
94.9,0.0,0.16882063,1.0,2.6722002,0.5979988,196.28,0.36277944,94.9,1.0,2012
158.9,0.0,0.13699092,1.0,0.0,0.60068196,198.04001,0.35120964,158.9,1.0,2012
159.4,0.0,0.103922,1.0,0.0,0.59778327,200.63,0.33778107,159.4,1.0,2012
149.3,0.0,0.07370498,1.0,0.0,0.5937973,187.16,0.32373014,149.3,1.0,2012
163.2,0.0,0.049090877,1.0,0.0,0.5905042,175.85,0.30978283,163.2,1.0,2012
158.5,0.0,0.031511255,1.0,0.0,0.5873784,185.61,0.2961137,158.5,1.0,2012
130.9,0.0,0.021290142,1.0,0.0,0.583001,199.58,0.28242376,130.9,1.0,2012
119.9,0.0,0.017978115,1.0,0.0,0.5759905,236.97,0.2681057,119.9,1.0,2012
153.4,0.0,0.020607501,1.0,0.0,0.5647741,258.91,0.2524528,153.4,1.0,2012
