OBJECTID	PDIV_ID	Af_used_2012	Af_used_irr_2012	Acres_2012	Af_used_mun_2012	Af_used_stk_2012	long_nad83	lat_nad83	county						
92	28985	0	0	625	0	0	-100.7031932	37.22811052	SW						
93	20625	0	0	0	0	0	-100.9252247	37.45070235	HS						
94	15732	0	0	0	0	0	-95.27668459	39.01203617	DG						
95	7520	79.16624469	79.16624469	65	0	0	-97.58873772	39.58169953	CD						
96	48405	63.28659418	63.28659418	122	0	0	-101.6356263	38.69813301	GL						
97	17691	0	0	0	0	0	-101.1083907	38.10392337	KE						
98	52655	0	0	0	0	0	-95.25447555	39.3098508	JF						
99	963	0	0	0	0	0	-95.25505456	39.31115679	JF						
100	21539	67	67	117	0	0	-100.2141138	37.64980884	FO						
101	26287	0	0	0	0	0	-101.1379093	37.95363375	KE						
102	9716	0	0	0	0	0	-101.3975276	38.45194036	WH						
103	21582	0	0	0	0	0	-101.4042	38.48976816	WH						
104	24141	89.93098072	89.93098072	41	0	0	-101.9540545	38.66885223	GL						
105	22505	153.5729521	153.5729521	69	0	0	-101.9521045	38.66451233	GL						
106	35176	0	0	0	0	0	-101.5567812	37.49968435	ST						
107	10259	75	75	79	0	0	-101.6739074	39.91796055	CN						
108	3797	440	440	120	0	0	-100.8973089	38.490017	SC						
109	24839	0	0	0	0	0	-100.9979146	37.47753771	HS						
110	38133	50	50	40	0	0	-97.53359838	37.99317953	HV						
111	13457	174.4220518	174.4220518	120	0	0	-100.8309786	39.59995343	RA						
112	1303	184	184	320	0	0	-101.017168	37.59052547	HS						
113	36421	44.01950585	0	0	44.01950585	0	-101.2373062	39.13491668	LG						
114	13248	221.1747087	221.1747087	122	0	0	-101.9571348	38.64207282	GL						
115	23573	182.648818	182.648818	122	0	0	-101.6454266	38.65496365	GL						
116	52058	418.9153938	418.9153938	260	0	0	-101.6803096	37.69853461	ST						
117	26422	0	0	0	0	0	-101.68057	37.6483359	ST						
118	37207	0	0	0	0	0	-97.12968306	37.96369792	BU						
119	54342	195.7044784	195.7044784	170	0	0	-101.7474787	38.80751079	WA						
120	53842	197.525863	197.525863	125	0	0	-99.53773789	37.81154712	ED						
121	50788	0	0	0	0	0	-101.8878527	37.60420939	ST						
